week,country,region,sub_region,cases,deaths
2020-08-31,Belgique,Wallonie,Namur,104,0
2020-08-31,Belgique,Wallonie,Province de Luxembourg,47,0
2020-08-31,Belgique,Wallonie,,0,3
2020-09-07,Belgique,Wallonie,Brabant Wallon,219,0
2020-09-07,Belgique,Wallonie,Hainaut,513,0
2020-09-07,Belgique,Wallonie,Liège,801,0
2020-09-07,Belgique,Wallonie,Namur,146,0
2020-09-07,Belgique,Wallonie,Province de Luxembourg,92,0
2020-09-07,Belgique,Wallonie,,0,4
2020-09-14,Belgique,Wallonie,Brabant Wallon,528,0
2020-09-14,Belgique,Wallonie,Hainaut,966,0
2020-09-14,Belgique,Wallonie,Liège,1451,0
2020-09-14,Belgique,Wallonie,Namur,295,0
2020-09-14,Belgique,Wallonie,Province de Luxembourg,169,0
2020-09-14,Belgique,Wallonie,,0,7
2020-09-21,Belgique,Wallonie,Brabant Wallon,440,0
2020-09-21,Belgique,Wallonie,Hainaut,1244,0
2020-09-21,Belgique,Wallonie,Liège,1449,0
2020-09-21,Belgique,Wallonie,Namur,472,0
2020-09-21,Belgique,Wallonie,Province de Luxembourg,221,0
2020-09-21,Belgique,Wallonie,,0,13
2020-09-28,Belgique,Wallonie,Brabant Wallon,1049,0
2020-09-28,Belgique,Wallonie,Hainaut,2431,0
2020-09-28,Belgique,Wallonie,Liège,2994,0
2020-09-28,Belgique,Wallonie,Namur,1019,0
2020-09-28,Belgique,Wallonie,Province de Luxembourg,475,0
2020-09-28,Belgique,Wallonie,,0,30
2020-10-05,Belgique,Wallonie,Brabant Wallon,2294,0
2020-10-05,Belgique,Wallonie,Hainaut,5867,0
2020-10-05,Belgique,Wallonie,Liège,6693,0
2020-10-05,Belgique,Wallonie,Namur,2551,0
2020-10-05,Belgique,Wallonie,Province de Luxembourg,1307,0
2020-10-05,Belgique,Wallonie,,0,51
2020-10-12,Belgique,Wallonie,Brabant Wallon,3562,0
2020-10-12,Belgique,Wallonie,Hainaut,12530,0
2020-10-12,Belgique,Wallonie,Liège,14253,0
2020-10-12,Belgique,Wallonie,Namur,4683,0
2020-10-12,Belgique,Wallonie,Province de Luxembourg,1922,0
2020-10-12,Belgique,Wallonie,,0,120
2020-10-19,Belgique,Wallonie,Brabant Wallon,4854,0
2020-10-19,Belgique,Wallonie,Hainaut,18582,1
2020-10-19,Belgique,Wallonie,Liège,18642,1
2020-10-19,Belgique,Wallonie,Namur,6242,0
2020-10-19,Belgique,Wallonie,Province de Luxembourg,3022,0
2020-10-19,Belgique,Wallonie,,0,262
2020-10-26,Belgique,Wallonie,Brabant Wallon,3688,0
2020-10-26,Belgique,Wallonie,Hainaut,19077,0
2020-10-26,Belgique,Wallonie,Liège,18404,0
